index,season,player,team,innings,runs,balls,strike_rate,dismissals,average
14109,2018,G Gambhir,Delhi Daredevils,5,85,88,96.59,5.0,17.0
14123,2018,SS Iyer,Delhi Daredevils,13,411,310,132.58,11.0,37.36
14151,2018,V Shankar,Delhi Daredevils,9,212,148,143.24,4.0,53.0
14173,2018,RR Pant,Delhi Daredevils,14,684,394,173.6,13.0,52.62
14193,2018,R Tewatia,Delhi Daredevils,5,50,43,116.28,3.0,16.67
14202,2018,CH Morris,Delhi Daredevils,3,46,26,176.92,1.0,46.0
14204,2018,DT Christian,Delhi Daredevils,3,26,32,81.25,2.0,13.0
14232,2018,KL Rahul,Kings XI Punjab,14,659,415,158.8,12.0,54.92
14238,2018,MA Agarwal,Kings XI Punjab,11,120,94,127.66,10.0,12.0
14252,2018,Yuvraj Singh,Kings XI Punjab,6,65,73,89.04,6.0,10.83
14262,2018,KK Nair,Kings XI Punjab,12,301,222,135.59,12.0,25.08
14288,2018,DA Miller,Kings XI Punjab,3,74,63,117.46,2.0,37.0
14326,2018,MP Stoinis,Kings XI Punjab,7,99,76,130.26,4.0,24.75
14346,2018,BB McCullum,Royal Challengers Bangalore,6,127,87,145.98,6.0,21.17
14352,2018,Q de Kock,Royal Challengers Bangalore,8,201,162,124.07,8.0,25.12
14356,2018,V Kohli,Royal Challengers Bangalore,14,530,380,139.47,11.0,48.18
14397,2018,AB de Villiers,Royal Challengers Bangalore,11,480,275,174.55,9.0,53.33
14434,2018,Mandeep Singh,Royal Challengers Bangalore,13,252,187,134.76,10.0,25.2
14436,2018,SN Khan,Royal Challengers Bangalore,6,51,41,124.39,5.0,10.2
14456,2018,CR Woakes,Royal Challengers Bangalore,4,17,19,89.47,2.0,8.5
14467,2018,SP Narine,Kolkata Knight Riders,16,357,188,189.89,16.0,22.31
14470,2018,CA Lynn,Kolkata Knight Riders,16,491,377,130.24,15.0,32.73
14479,2018,RV Uthappa,Kolkata Knight Riders,16,351,265,132.45,16.0,21.94
14500,2018,N Rana,Kolkata Knight Riders,15,304,232,131.03,14.0,21.71
14515,2018,KD Karthik,Kolkata Knight Riders,16,498,336,148.21,10.0,49.8
14560,2018,RK Singh,Kolkata Knight Riders,4,29,31,93.55,4.0,7.25
14568,2018,AD Russell,Kolkata Knight Riders,14,316,170,185.88,11.0,28.73
14584,2018,R Vinay Kumar,Kolkata Knight Riders,1,6,3,200.0,0.0,6.0
14590,2018,AM Rahane,Rajasthan Royals,14,370,313,118.21,13.0,28.46
14592,2018,DJM Short,Rajasthan Royals,7,115,99,116.16,7.0,16.43
14597,2018,SV Samson,Rajasthan Royals,15,441,320,137.81,14.0,31.5
14635,2018,BA Stokes,Rajasthan Royals,12,196,161,121.74,12.0,16.33
14648,2018,RA Tripathi,Rajasthan Royals,12,226,167,135.33,9.0,25.11
14674,2018,JC Buttler,Rajasthan Royals,13,548,353,155.24,10.0,54.8
14679,2018,K Gowtham,Rajasthan Royals,13,126,64,196.88,9.0,14.0
14681,2018,S Gopal,Rajasthan Royals,4,50,45,111.11,3.0,16.67
14698,2018,DS Kulkarni,Rajasthan Royals,2,6,7,85.71,1.0,6.0
14709,2018,JD Unadkat,Rajasthan Royals,5,49,38,128.95,4.0,12.25
14711,2018,B Laughlin,Rajasthan Royals,2,1,4,25.0,1.0,1.0
14715,2018,WP Saha,Sunrisers Hyderabad,10,122,102,119.61,8.0,15.25
14717,2018,S Dhawan,Sunrisers Hyderabad,16,497,363,136.91,14.0,35.5
14735,2018,KS Williamson,Sunrisers Hyderabad,17,735,515,142.72,14.0,52.5
14924,2018,TK Curran,Kolkata Knight Riders,4,23,28,82.14,3.0,7.67
15007,2018,SW Billings,Chennai Super Kings,8,108,78,138.46,8.0,13.5
15170,2018,GJ Maxwell,Delhi Daredevils,12,169,120,140.83,12.0,14.08
15262,2018,KA Pollard,Mumbai Indians,8,133,99,134.34,7.0,19.0
15298,2018,BCJ Cutting,Mumbai Indians,6,96,58,165.52,4.0,24.0
15314,2018,PJ Sangwan,Mumbai Indians,1,0,4,0.0,1.0,0.0
15323,2018,JJ Bumrah,Mumbai Indians,3,10,10,100.0,1.0,10.0
15326,2018,M Markande,Mumbai Indians,6,21,24,87.5,2.0,10.5
15382,2018,MK Pandey,Sunrisers Hyderabad,13,284,248,114.52,11.0,25.82
15385,2018,Shakib Al Hasan,Sunrisers Hyderabad,13,239,195,122.56,11.0,21.73
15396,2018,DJ Hooda,Sunrisers Hyderabad,8,87,81,107.41,4.0,21.75
15410,2018,YK Pathan,Sunrisers Hyderabad,13,260,200,130.0,9.0,28.89
15437,2018,Rashid Khan,Sunrisers Hyderabad,7,59,31,190.32,5.0,11.8
15438,2018,S Kaul,Sunrisers Hyderabad,3,3,14,21.43,3.0,1.0
15443,2018,Sandeep Sharma,Sunrisers Hyderabad,3,0,4,0.0,2.0,0.0
15449,2018,B Stanlake,Sunrisers Hyderabad,1,5,2,250.0,0.0,5.0
15471,2018,AJ Finch,Kings XI Punjab,9,134,100,134.0,8.0,16.75
15532,2018,AR Patel,Kings XI Punjab,8,80,69,115.94,6.0,13.33
15535,2018,R Ashwin,Kings XI Punjab,8,102,71,143.66,8.0,12.75
15544,2018,AJ Tye,Kings XI Punjab,8,32,38,84.21,6.0,5.33
15563,2018,MM Sharma,Kings XI Punjab,4,10,13,76.92,1.0,10.0
15567,2018,Mujeeb Ur Rahman,Kings XI Punjab,2,10,7,142.86,1.0,10.0
15684,2018,Washington Sundar,Royal Challengers Bangalore,5,65,38,171.05,3.0,21.67
15805,2018,A Dananjaya,Mumbai Indians,1,4,5,80.0,0.0,4.0
