Sr.No.,Player,Nationality,Type,Season
114,Sabbir Rahaman,Indian,All-Rounder,2020
107,Sachin Rana,Indian,All-Rounder,2016
324,Sagar Trivedi,Indian,All-Rounder,2018
119,Sagar Trivedi,Indian,All-Rounder,2016
120,Sairaj Patil,Indian,All-Rounder,2019
192,Salman Nizar,Indian,All-Rounder,2018
179,Samit Patel,Indian,All-Rounder,2019
50,Samit Patel,Indian,All-Rounder,2018
107,Sandeep Bavanaka,Indian,All-Rounder,2021
201,Sandeep Bavanaka,Indian,All-Rounder,2019
225,Sandeep Bavanaka,Indian,All-Rounder,2018
150,Sanjay Pahal,Indian,All-Rounder,2017
75,Sanjay Yadav,Indian,All-Rounder,2019
282,Sanvir Singh,Indian,All-Rounder,2019
218,Sarang Rawat,Indian,All-Rounder,2018
245,Saurabh Dubey,Indian,All-Rounder,2017
190,Saurabh Dubey,Indian,All-Rounder,2016
204,Saurabh Kumar,Indian,All-Rounder,2019
359,Saurabh Kumar,Indian,All-Rounder,2018
80,Scott Kuggeleijn,Overseas,All-Rounder,2021
98,Scott Kuggeleijn,Overseas,All-Rounder,2020
138,Scott Kuggeleijn,Overseas,All-Rounder,2018
69,Sean Abbott,Overseas,All-Rounder,2017
50,Sean Abbott,Overseas,All-Rounder,2016
112,Seekkuge Prasanna,Indian,All-Rounder,2020
76,Seekkuge Prasanna,Indian,All-Rounder,2018
68,Seekkuge Prasanna,Indian,All-Rounder,2017
89,Seekkuge Prasanna,Indian,All-Rounder,2016
63,Shabbir Rahaman,Indian,All-Rounder,2018
72,Shabbir Rahman Roman,Indian,All-Rounder,2017
253,Shadley Van Schalkwyk,Overseas,All-Rounder,2019
234,Shadley Van Schalkwyk,Overseas,All-Rounder,2018
49,Shahrukh Khan,Indian,All-Rounder,2020
177,Shaik Ismail,Indian,All-Rounder,2020
211,Shamar Springer,Overseas,All-Rounder,2019
203,Shamar Springer,Overseas,All-Rounder,2018
106,Shamar Springer,Overseas,All-Rounder,2017
202,Shams Mulani,Overseas,All-Rounder,2021
41,Shams Mulani,Overseas,All-Rounder,2020
142,Shams Mulani,Overseas,All-Rounder,2019
265,Shamss Mulani,Overseas,All-Rounder,2019
188,Shamss Mulani,Overseas,All-Rounder,2018
195,Shasank Singh,Indian,All-Rounder,2016
105,Shashank Singh,Indian,All-Rounder,2021
180,Shashank Singh,Indian,All-Rounder,2018
280,Shaurya Sanandia,Indian,All-Rounder,2018
164,Shaurya Sanandia,Indian,All-Rounder,2017
58,Shehan Jayasuriya,Overseas,All-Rounder,2016
19,Sherfane Rutherford,Overseas,All-Rounder,2021
249,Shiva Chauhan,Indian,All-Rounder,2019
132,Shiva Singh,Indian,All-Rounder,2019
115,Shivam Chauhan,Indian,All-Rounder,2017
247,Shivam Dubey,Indian,All-Rounder,2018
130,Shivam Dubey,Indian,All-Rounder,2017
317,Shivam Sharma,Indian,All-Rounder,2018
153,Shivam Sharma,Indian,All-Rounder,2017
234,Shoaib Khan,Indian,All-Rounder,2021
266,Shreekant Wagh,Indian,All-Rounder,2019
272,Shreekant Wagh,Indian,All-Rounder,2018
252,Shrikant Mundhe,Indian,All-Rounder,2016
229,Shubham Agrawal,Indian,All-Rounder,2021
234,Shubham Agrawal,Indian,All-Rounder,2019
209,Shubham Agrawal,Indian,All-Rounder,2018
171,Shubham Ranjane,Indian,All-Rounder,2020
197,Shubham Ranjane,Indian,All-Rounder,2018
234,Shubham Ranjane,Indian,All-Rounder,2017
204,Shubham Ranjane,Indian,All-Rounder,2016
104,Shubham Singh Rohilla,Indian,All-Rounder,2021
118,Shubhang Hegde,Indian,All-Rounder,2021
152,Shubhang Hegde,Indian,All-Rounder,2020
255,Siddhant Sharma,Indian,All-Rounder,2018
198,Sidhant Dobal,Indian,All-Rounder,2018
57,Sikandar Butt,Indian,All-Rounder,2018
21,Sikandar Raza,Indian,All-Rounder,2019
231,Sohraab Dhaliwal,Indian,All-Rounder,2018
60,Solomon Mire,Overseas,All-Rounder,2018
60,Soumya Sarkar,Overseas,All-Rounder,2016
45,Stuart Binny,Indian,All-Rounder,2021
21,Stuart Binny,Indian,All-Rounder,2020
97,Subodh Bhati,Indian,All-Rounder,2021
203,Subodh Bhati,Indian,All-Rounder,2019
292,Subodh Bhati,Indian,All-Rounder,2017
161,Subodh Bhati,Indian,All-Rounder,2016
58,Sujit Nayak,Indian,All-Rounder,2020
407,Sumanth Bodapati,Indian,All-Rounder,2018
370,Sumeet Verma,Indian,All-Rounder,2018
174,Sumit Kumar,Indian,All-Rounder,2021
42,Sumit Kumar,Indian,All-Rounder,2020
137,Sumit Narwal,Indian,All-Rounder,2017
226,Sumit Narwal,Indian,All-Rounder,2016
274,Sumit Ruikar,Indian,All-Rounder,2019
274,Sumit Ruikar,Indian,All-Rounder,2018
161,Sumit Ruikar,Indian,All-Rounder,2017
183,Suneel Raju,Indian,All-Rounder,2016
240,Suraj Yadav,Indian,All-Rounder,2017
271,Suryakant Pradhan,Indian,All-Rounder,2019
270,Suyash Prabhudesai,Indian,All-Rounder,2019
181,Swapnil Singh,Indian,All-Rounder,2020
124,Swapnil Singh,Indian,All-Rounder,2019
296,Swapnil Singh,Indian,All-Rounder,2018
260,Syed Mehdi Hasan,Overseas,All-Rounder,2019
150,T Ravi Teja,Indian,All-Rounder,2021
272,T Ravi Teja,Indian,All-Rounder,2019
198,Tajinder Dhillon,Indian,All-Rounder,2021
145,Tajinder Dhillon,Indian,All-Rounder,2019
112,Tanay Thyagarajan,Indian,All-Rounder,2021
139,Tanveer Ul haq,Overseas,All-Rounder,2019
200,Tanveer Ulhaq,Overseas,All-Rounder,2016
66,Thikshila De Silva,Overseas,All-Rounder,2017
68,Thisara Perera,Overseas,All-Rounder,2021
76,Thisara Perera,Overseas,All-Rounder,2020
45,Thisara Perera,Overseas,All-Rounder,2019
74,Thisara Perera,Overseas,All-Rounder,2018
14,Thisara Perera,Overseas,All-Rounder,2017
200,Thomas Kaber,Overseas,All-Rounder,2018
3,Tillakaratne Dilshan,Overseas,All-Rounder,2016
125,Tim David,Overseas,All-Rounder,2021
34,Tom Cooper,Overseas,All-Rounder,2017
31,Tom Curran,Overseas,All-Rounder,2018
244,Treyaksh Bali,Overseas,All-Rounder,2019
111,Umran Malik,Indian,All-Rounder,2021
234,Utkarsh Singh,Indian,All-Rounder,2020
134,Utkarsh Singh,Indian,All-Rounder,2019
264,Utkarsh Singh,Indian,All-Rounder,2018
282,Vaibhav Rawal,Indian,All-Rounder,2018
238,Vaibhav Rawal,Indian,All-Rounder,2016
230,Varun Sood,Indian,All-Rounder,2017
144,Vaughn Van Jaarsveld,Overseas,All-Rounder,2018
263,Venkatesh Iyer,Indian,All-Rounder,2019
191,Venkatesh Iyer,Indian,All-Rounder,2016
188,Vernon Philander,Overseas,All-Rounder,2019
64,Vernon Philander,Overseas,All-Rounder,2018
36,Vernon Philander,Overseas,All-Rounder,2016
236,Vignesh Moorthy,Indian,All-Rounder,2018
283,Vijay Rajendra Jethi,Indian,All-Rounder,2017
253,Vinay Galetiya,Indian,All-Rounder,2017
245,Vinod Kumar C.V.,Indian,All-Rounder,2019
199,Vinod Kumar C.V.,Indian,All-Rounder,2018
209,Vinod Kumar C.V.,Indian,All-Rounder,2017
165,Vishal Kushwah,Indian,All-Rounder,2020
121,Vishal Kushwah,Indian,All-Rounder,2019
126,Vishal Kushwah,Indian,All-Rounder,2017
255,Vishnu Solanki,Indian,All-Rounder,2017
141,Vivek Singh,Indian,All-Rounder,2021
244,Vivek Singh,Indian,All-Rounder,2020
131,Vivek Singh,Indian,All-Rounder,2019
212,Vivek Singh,Indian,All-Rounder,2018
235,Vysak V,Indian,All-Rounder,2017
174,Vyshak Vijay Kumar,Indian,All-Rounder,2018
78,Wanindu Hasaranga,Overseas,All-Rounder,2021
132,Wanindu Hasaranga,Overseas,All-Rounder,2020
81,Wayne Parnell,Overseas,All-Rounder,2021
52,Wayne Parnell,Overseas,All-Rounder,2018
25,Wayne Parnell,Overseas,All-Rounder,2017
30,Wayne Parnell,Overseas,All-Rounder,2016
85,Wiaan Mulder,Overseas,All-Rounder,2020
141,Wiaan Mulder,Overseas,All-Rounder,2018
140,Will Jacks,Overseas,All-Rounder,2020
303,Writtick Chatterjee,Indian,All-Rounder,2018
208,Writtick Chatterjee,Indian,All-Rounder,2017
182,Yash Rathod,Indian,All-Rounder,2020
207,Yogesh Nagar,Indian,All-Rounder,2018
249,Yogesh Nagar,Indian,All-Rounder,2017
207,Yogesh Nagar,Indian,All-Rounder,2016
210,Yomahesh Kumar,Indian,All-Rounder,2018
55,Yudhvir Charak,Indian,All-Rounder,2020
7,Yusuf Pathan,Indian,All-Rounder,2020
10,Aaron Finch,Indian,Batter,2021
381,Abhijeet Tomar,Indian,Batter,2018
194,Abhimanyu Easwaran,Indian,Batter,2021
259,Abhimanyu Easwaran,Indian,Batter,2020
151,Abhimanyu Easwaran,Indian,Batter,2019
383,Abhimanyu Easwaran,Indian,Batter,2018
357,Abhinav Manohar,Indian,Batter,2018
129,Abhinav Mukund,Indian,Batter,2018
33,Abhinav Mukund,Indian,Batter,2017
67,Abhinav Mukund,Indian,Batter,2016
14,Adam Voges,Overseas,Batter,2016
157,Aditya Arvind Waghmode,Indian,Batter,2016
199,Aditya Garhwal,Indian,Batter,2017
66,Aiden Blizzard,Overseas,Batter,2016
107,Aiden Markram,Overseas,Batter,2020
175,Aiden Markram,Overseas,Batter,2019
114,Aiden Markram,Overseas,Batter,2018
200,Akshath Reddy,Indian,Batter,2019
352,Akshath Reddy,Indian,Batter,2018
4,Alex Hales,Overseas,Batter,2021
74,Alex Hales,Overseas,Batter,2020
6,Alex Hales,Overseas,Batter,2019
28,Alex Hales,Overseas,Batter,2018
8,Alex Hales,Overseas,Batter,2017
170,Alex Ross,Overseas,Batter,2018
86,Alex Ross,Overseas,Batter,2017
98,Alex Ross,Overseas,Batter,2016
196,Amandeep Khare,Indian,Batter,2021
270,Amandeep Khare,Indian,Batter,2020
292,Amandeep Khare,Indian,Batter,2019
302,Amandeep Khare,Indian,Batter,2018
202,Amandeep Khare,Indian,Batter,2017
256,Amit Pachhara,Indian,Batter,2017
93,Ankeet Bawane,Indian,Batter,2019
238,Ankeet Bawane,Indian,Batter,2018
215,Ankeet Bawane,Indian,Batter,2016
312,Ankit Lamba,Indian,Batter,2018
252,Ankit Lamba,Indian,Batter,2017
323,Anmolpreet Singh,Indian,Batter,2018
172,Anton Devcich,Indian,Batter,2019
75,Anton Devcich,Indian,Batter,2018
146,Apoorv Vijay Wankhade,Indian,Batter,2021
216,Apoorv Vijay Wankhade,Indian,Batter,2017
219,Apoorv Vijay Wankhade,Indian,Batter,2016
194,Arjit Gupta,Indian,Batter,2017
143,Armaan Jaffer,Indian,Batter,2021
207,Armaan Jaffer,Indian,Batter,2020
94,Armaan Jaffer,Indian,Batter,2019
185,Armaan Jaffer,Indian,Batter,2018
143,Asad Khan Pathan,Indian,Batter,2016
93,Avishka Fernando,Overseas,Batter,2020
94,Brandon King,Overseas,Batter,2020
1,Brendon McCullum,Overseas,Batter,2019
17,Callum Ferguson,Overseas,Batter,2017
137,Cameron Delport,Overseas,Batter,2020
5,Cameron White,Overseas,Batter,2018
4,Cameron White,Overseas,Batter,2016
19,Cheteshwar Pujara,Indian,Batter,2020
30,Cheteshwar Pujara,Indian,Batter,2019
41,Cheteshwar Pujara,Indian,Batter,2018
13,Cheteshwar Pujara,Indian,Batter,2017
49,Cheteshwar Pujara,Indian,Batter,2016
196,Chirag Gandhi,Indian,Batter,2019
385,Chirag Gandhi,Indian,Batter,2018
153,Chirag Gandhi,Indian,Batter,2016
165,Christiaan Jonker,Overseas,Batter,2018
18,Colin Ingram,Overseas,Batter,2020
9,Colin Ingram,Overseas,Batter,2018
23,Corey Anderson,Overseas,Batter,2021
261,D.B Ravi Teja,Indian,Batter,2019
298,D.B Ravi Teja,Indian,Batter,2018
171,Daniel Hughes,Overseas,Batter,2018
214,D'Arcy Short,Overseas,Batter,2017
24,Darren Bravo,Overseas,Batter,2021
160,Darren Bravo,Overseas,Batter,2019
37,Darren Bravo,Overseas,Batter,2018
42,Darren Bravo,Overseas,Batter,2016
7,David Hussey,Overseas,Batter,2016
139,Dean Elgar,Overseas,Batter,2018
68,Dean Elgar,Overseas,Batter,2016
199,Debabrata Das,Indian,Batter,2016
57,Devon Conway,Overseas,Batter,2021
213,Ekant Sen,Indian,Batter,2020
153,Eoin Morgan,Overseas,Batter,2019
3,Eoin Morgan,Overseas,Batter,2018
11,Evin Lewis,Overseas,Batter,2021
6,Evin Lewis,Overseas,Batter,2020
31,Evin Lewis,Overseas,Batter,2017
102,Evin Lewis,Overseas,Batter,2016
174,Faiz Fazal,Overseas,Batter,2019
126,Faiz Fazal,Overseas,Batter,2018
62,Faiz Fazal,Overseas,Batter,2017
167,Finn Allen,Overseas,Batter,2021
229,Ganesh Satish,Indian,Batter,2019
19,George Bailey,Overseas,Batter,2016
272,George Munsey,Overseas,Batter,2020
156,Govinda Poddar,Indian,Batter,2016
12,Hanuma Vihari,Indian,Batter,2021
20,Hanuma Vihari,Indian,Batter,2020
168,Harpreet Bhatia,Indian,Batter,2021
46,Harpreet Bhatia,Indian,Batter,2020
228,Harpreet Bhatia,Indian,Batter,2019
275,Harpreet Singh,Indian,Batter,2019
110,Harpreet Singh,Indian,Batter,2017
14,Hashim Amla,Overseas,Batter,2019
13,Hashim Amla,Overseas,Batter,2018
16,Hashim Amla,Overseas,Batter,2016
42,Hazratullah Zazai,Overseas,Batter,2019
133,Himanshu Rana,Indian,Batter,2021
212,Himanshu Rana,Indian,Batter,2020
69,Himanshu Rana,Indian,Batter,2019
351,Himanshu Rana,Indian,Batter,2018
207,Himanshu Rana,Indian,Batter,2017
128,Himanshu Rana,Indian,Batter,2016
134,Himmat Singh,Indian,Batter,2021
269,Himmat Singh,Indian,Batter,2020
267,Hiten Dalal,Indian,Batter,2020
406,Hiten Dalal,Indian,Batter,2018
246,Ishank Jaggi,Indian,Batter,2019
117,Ishank Jaggi,Indian,Batter,2016
228,Jake Weatherald,Overseas,Batter,2021
190,Jake Weatherald,Overseas,Batter,2020
89,Jake Weatherald,Overseas,Batter,2019
106,Janneman Malan,Overseas,Batter,2020
1,Jason Roy,Overseas,Batter,2021
382,Jiwanjot Singh Chauhan,Indian,Batter,2018
92,Joe Burns,Overseas,Batter,2018
48,Joe Burns,Overseas,Batter,2017
18,Joe Burns,Overseas,Batter,2016
24,Joe Root,Overseas,Batter,2018
225,Johannes Malan,Overseas,Batter,2019
243,Jonty Sidhu,Overseas,Batter,2017
295,K Rohit Rayudu,Indian,Batter,2019
197,Kattingeri Ashwin Hebbar,Indian,Batter,2019
269,Kumar Deobrat,Indian,Batter,2017
58,Kusal Mendis,Overseas,Batter,2017
69,Lahiru Thirimanne,Overseas,Batter,2016
139,Laurie Evans,Overseas,Batter,2020
57,Laurie Evans,Overseas,Batter,2019
79,Lendl Simmons,Overseas,Batter,2020
24,Lendl Simmons,Overseas,Batter,2019
19,Lendl Simmons,Overseas,Batter,2018
155,Luke Wright,Overseas,Batter,2019
6,Mahela Jayawardena,Overseas,Batter,2016
65,Mandeep Hardev Singh,Indian,Batter,2018
48,Manjot Kalra,Indian,Batter,2020
22,Manoj Tiwary,Indian,Batter,2020
31,Manoj Tiwary,Indian,Batter,2019
173,Manprit Juneja,Indian,Batter,2018
104,Manprit Juneja,Indian,Batter,2017
188,Manprit Juneja,Indian,Batter,2016
266,Marco Marais,Overseas,Batter,2020
291,Marcus Harris,Overseas,Batter,2018
7,Marlon Samuels,Overseas,Batter,2017
25,Marlon Samuels,Overseas,Batter,2016
58,Martin Guptill,Overseas,Batter,2021
5,Martin Guptill,Overseas,Batter,2020
35,Martin Guptill,Overseas,Batter,2018
33,Martin Guptill,Overseas,Batter,2016
224,Max Bryant,Overseas,Batter,2021
254,Max Bryant,Overseas,Batter,2020
252,Mayank Rawat,Indian,Batter,2020
178,Mayank Siddana,Indian,Batter,2018
1,Michael Hussey,Overseas,Batter,2016
18,Michael Klinger,Overseas,Batter,2018
12,Michael Klinger,Overseas,Batter,2017
52,Michael Klinger,Overseas,Batter,2016
83,Mithun Manhas,Indian,Batter,2016
103,Mohamad Asghar Stanikzai,Overseas,Batter,2017
158,Mohammad Saif,Indian,Batter,2016
160,Mohammad Taha,Indian,Batter,2016
356,Mohammed Asaduddin,Indian,Batter,2018
197,Mohammed Taha,Indian,Batter,2021
155,Mohit Hooda,Indian,Batter,2016
148,Najibullah Zadran,Overseas,Batter,2018
170,Naushad Shaikh,Indian,Batter,2021
261,Naushad Shaikh,Indian,Batter,2020
87,Naushad Shaikh,Indian,Batter,2019
133,Nehal Pajni,Indian,Batter,2020
45,Neil Broom,Overseas,Batter,2017
11,Nic Maddinson,Overseas,Batter,2017
46,Nic Maddinson,Overseas,Batter,2016
92,Oshada Fernando,Overseas,Batter,2020
9,Owais Shah,Overseas,Batter,2016
294,Paras Dogra,Indian,Batter,2018
197,Paras Dogra,Indian,Batter,2017
299,Paul Valthaty,Overseas,Batter,2018
215,Paul Valthaty,Overseas,Batter,2017
246,Paul Valthaty,Overseas,Batter,2016
274,Pavan Deshpande,Indian,Batter,2017
230,Pite Van Biljon,Overseas,Batter,2019
196,Pramod Chandila,Overseas,Batter,2017
240,Pranav Gupta,Indian,Batter,2019
264,Prashant Chopra,Indian,Batter,2017
115,Prashant Chopra,Indian,Batter,2016
154,Prashant Gupta,Indian,Batter,2016
171,Pratham Singh,Indian,Batter,2021
263,Pratham Singh,Indian,Batter,2020
321,Pratham Singh,Indian,Batter,2018
204,Pratyush Kumar,Indian,Batter,2017
123,Prithvi Shaw,Indian,Batter,2017
291,Priyam Garg,Indian,Batter,2019
222,Priyank Panchal,Indian,Batter,2020
70,Priyank Panchal,Indian,Batter,2019
318,Priyank Panchal,Indian,Batter,2018
271,R Samarth,Indian,Batter,2020
296,R Samarth,Indian,Batter,2019
353,R Samarth,Indian,Batter,2018
205,R Samarth,Indian,Batter,2017
130,Rahul Gahlaut,Indian,Batter,2021
256,Rahul Gahlaut,Indian,Batter,2020
209,Rajat Patidar,Indian,Batter,2020
71,Rajat Patidar,Indian,Batter,2019
360,Rajat Patidar,Indian,Batter,2018
193,Rajesh Bishnoi,Indian,Batter,2021
215,Rajesh Bishnoi,Indian,Batter,2020
68,Rajesh Bishnoi Sr,Indian,Batter,2019
293,Rajesh Bishnoi Sr,Indian,Batter,2018
280,Rajesh Bishnoi Sr.,Indian,Batter,2017
159,Rajesh Sharma,Indian,Batter,2016
380,Ramandeep Singh,Indian,Batter,2018
60,Rassie Van der Dussen,Overseas,Batter,2021
95,Rassie Van der Dussen,Overseas,Batter,2020
51,Rassie Van der Dussen,Overseas,Batter,2019
292,Rassie Van der Dussen,Overseas,Batter,2018
270,Rassie Van der Dussen,Overseas,Batter,2017
375,Ravi Chauhan,Indian,Batter,2018
227,Ravi Thakur,Indian,Batter,2021
40,Reeza Hendricks,Overseas,Batter,2019
54,Reeza Hendricks,Overseas,Batter,2018
79,Reeza Hendricks,Overseas,Batter,2016
35,Richard Levi,Overseas,Batter,2016
265,Ricky Bhui,Indian,Batter,2020
75,Rilee Rossouw,Overseas,Batter,2020
7,Rilee Rossouw,Overseas,Batter,2019
17,Rilee Rossouw,Overseas,Batter,2016
251,Rinku Singh,Indian,Batter,2016
192,Robin Bist,Indian,Batter,2020
121,Robin Singh Bist,Indian,Batter,2016
195,Rohan Kadam,Indian,Batter,2021
47,Rohan Kadam,Indian,Batter,2020
358,Rohan Marwaha,Indian,Batter,2018
42,Ross Taylor,Overseas,Batter,2018
20,Ross Taylor,Overseas,Batter,2017
59,Rovman Powell,Overseas,Batter,2021
328,Ruturaj Gaikwad,Indian,Batter,2018
225,Saahil Jain,Indian,Batter,2021
211,Sachin Baby,Indian,Batter,2020
92,Sachin Baby,Indian,Batter,2019
260,Salman Khan,Indian,Batter,2020
54,Sam Heazlett,Overseas,Batter,2017
114,Samarth Singh,Indian,Batter,2016
377,Samit Gohil,Indian,Batter,2018
199,Sarthak Ranjan,Indian,Batter,2019
314,Sarthak Ranjan,Indian,Batter,2018
262,Sarthak Ranjan,Indian,Batter,2017
210,Saurabh Pradeep Wakaskar,Indian,Batter,2016
41,Saurabh Tiwary,Indian,Batter,2019
144,Shalabh Srivastava,Indian,Batter,2016
279,Shamsher Yadav,Indian,Batter,2017
262,Sharad Lumba,Indian,Batter,2020
126,Sharad Lumba,Indian,Batter,2019
7,Shaun Marsh,Overseas,Batter,2021
68,Shaun Marsh,Overseas,Batter,2020
3,Shaun Marsh,Overseas,Batter,2019
17,Shaun Marsh,Overseas,Batter,2018
192,Shishir Bhavane,Indian,Batter,2017
264,Shivam Bhambri,Indian,Batter,2020
152,Shivam Chaudhary,Indian,Batter,2016
169,Shivam Chauhan,Indian,Batter,2021
258,Shivam Chauhan,Indian,Batter,2020
224,Shivam Chauhan,Indian,Batter,2018
151,Shubham Chaubey,Indian,Batter,2016
268,Shubham Khajuria,Indian,Batter,2020
210,Shubham Singh Pundir,Indian,Batter,2020
227,Shubham Singh Rohilla,Indian,Batter,2019
330,Shubham Singh Rohilla,Indian,Batter,2018
208,Siddharth Krishnamurthy,Indian,Batter,2020
156,Siddhesh Dinesh Lad,Indian,Batter,2021
100,Srikkanth Anirudha,Indian,Batter,2016
264,Stephan Myburg,Overseas,Batter,2019
226,Subhranshu Senapati,Indian,Batter,2021
216,Subhranshu Senapati,Indian,Batter,2020
98,Subramaniam Badrinath,Indian,Batter,2017
23,Subramaniam Badrinath,Indian,Batter,2016
126,Swapnil Asnodkar,Indian,Batter,2016
198,Swapnil Gugale,Indian,Batter,2019
289,Swapnil Gugale,Indian,Batter,2019
251,Tajendra Singh,Indian,Batter,2017
56,Tamim Iqbal,Overseas,Batter,2017
24,Tamim Iqbal,Overseas,Batter,2016
113,Tamim Khan,Overseas,Batter,2018
279,Tanmay Agarwal,Indian,Batter,2019
220,Tanmay Mishra,Indian,Batter,2020
125,Tanmay Mishra,Indian,Batter,2019
211,Tanmay Srivastava,Indian,Batter,2017
130,Tanmay Srivastava,Indian,Batter,2016
50,Theunis De Bruyn,Overseas,Batter,2017
91,Tom Bruce,Overseas,Batter,2020
46,Tom Bruce,Overseas,Batter,2017
161,Tom Cooper,Overseas,Batter,2018
15,Travis Head,Overseas,Batter,2018
99,Udit Birla,Indian,Batter,2016
122,Umang Sharma,Indian,Batter,2017
218,Unmukt Chand,Indian,Batter,2020
149,Unmukt Chand,Indian,Batter,2019
410,Unmukt Chand,Indian,Batter,2018
32,Unmukt Chand,Indian,Batter,2017
79,Upul Tharanga,Overseas,Batter,2018
15,Usman Khawaja,Overseas,Batter,2019
45,Usman Khawaja,Overseas,Batter,2018
8,Usman Khawaja,Overseas,Batter,2016
130,Venugopal Rao,Indian,Batter,2018
193,Vijay Zol,Indian,Batter,2016
141,Virat Singh,Indian,Batter,2019
277,Virat Singh,Indian,Batter,2018
257,Virat Singh,Indian,Batter,2017
236,Virat Singh,Indian,Batter,2016
135,Vishnu Solanki,Indian,Batter,2021
223,Vishnu Solanki,Indian,Batter,2020
169,Vishnu Solanki,Indian,Batter,2018
362,Yash Sehrawat,Indian,Batter,2018
191,A. Aswin Crist,Indian,Pacer,2018
174,A. Aswin Crist,Indian,Pacer,2017
201,A. Aswin Crist,Indian,Pacer,2016
84,Aaron Phangiso,Overseas,Spinner,2018
231,Aaron Summers,Overseas,Spinner,2019
193,Aaron Summers,Overseas,Spinner,2018
83,Abhimanyu Mithun,Indian,Pacer,2021
49,Abhimanyu Mithun,Indian,Pacer,2019
145,Abhimanyu Mithun,Indian,Pacer,2018
397,Abhishek Sakuja,Indian,Spinner,2018
211,Abu Nechim Ahmed,Overseas,Pacer,2018
154,Abu Nechim Ahmed,Overseas,Pacer,2017
24,Adam Milne,Overseas,Pacer,2020
51,Adam Milne,Overseas,Pacer,2018
1,Adam Zampa,Overseas,Spinner,2020
13,Adam Zampa,Overseas,Spinner,2019
27,Adam Zampa,Overseas,Spinner,2018
6,Adil Rashid,Overseas,Spinner,2021
393,Aditya Thakare,Indian,Pacer,2018
37,Ajantha Mendis,Overseas,Pacer,2016
162,Ajay Ahlawat,Indian,Pacer,2017
204,Ajay Sonu T,Indian,Pacer,2020
222,Ajay Yadav,Indian,Pacer,2019
241,Ajit Chahal,Indian,Spinner,2018
184,Akash Deep,Indian,Pacer,2021
241,Akash Deep,Indian,Pacer,2020
53,Akila Dananjaya,Overseas,Pacer,2017
133,Akshay Chauhan,Indian,Pacer,2017
164,Akshay Chauhan,Indian,Pacer,2016
192,Akshay Wakhare,Indian,Spinner,2021
258,Akshay Wakhare,Indian,Spinner,2018
261,Akshay Wakhare,Indian,Spinner,2017
350,Alexandar Rama Doss,Indian,Spinner,2018
89,Ali Khan,Overseas,Pacer,2021
214,Ali Khan,Overseas,Pacer,2020
64,Ali Khan,Overseas,Pacer,2019
214,Ali Murtaza,Overseas,Spinner,2016
202,Alok Pratap Singh,Indian,Spinner,2016
76,Alzarri Joseph,Overseas,Pacer,2021
35,Alzarri Joseph,Overseas,Pacer,2020
313,Amit Mishra,Indian,Spinner,2018
244,Amit Mishra,Indian,Spinner,2017
265,Ananta Saha,Indian,Pacer,2017
211,Aniket Choudhary,Indian,Pacer,2021
238,Aniket Choudhary,Indian,Pacer,2020
102,Aniket Choudhary,Indian,Pacer,2019
124,Aniket Choudhary,Indian,Pacer,2016
92,Ankit Singh Rajpoot,Indian,Pacer,2021
331,Ankit Soni,Indian,Pacer,2018
28,Anrich Nortje,Overseas,Pacer,2020
271,Anupam Amrut Sanklecha,Indian,Pacer,2017
218,Anupam Sanklecha,Indian,Pacer,2019
179,Anurag Verma,Indian,Spinner,2018
141,Anureet Singh,Indian,Pacer,2020
67,Anureet Singh,Indian,Pacer,2019
248,Arafat Khan,Indian,Pacer,2020
91,Aravind Sreenath,Indian,Spinner,2018
369,Armaan Jain,Indian,Pacer,2018
372,Arshdeep Singh,Indian,Pacer,2018
186,Arzan Nagwaswalla,Overseas,Pacer,2021
253,Arzan Nagwaswalla,Overseas,Pacer,2020
285,Ashish Hooda,Indian,Pacer,2019
285,Ashish Hooda,Indian,Pacer,2018
399,Ashok Sandhu,Indian,Spinner,2018
88,Ashoke Dinda,Indian,Pacer,2020
38,Ashoke Dinda,Indian,Pacer,2019
103,Ashoke Dinda,Indian,Pacer,2018
344,Athisayaraj V,Indian,Pacer,2018
258,Avesh Khan,Indian,Pacer,2016
216,Babasafi Pathan,Indian,Pacer,2019
246,Babasafi Pathan,Indian,Pacer,2018
156,Babashafi Pathan,Indian,Pacer,2017
248,Babashaf Pathan,Indian,Pacer,2016
290,Badrey Alam,Overseas,Pacer,2019
238,Baltej Dhanda,Indian,Pacer,2021
367,Baltej Dhanda,Indian,Pacer,2018
276,Baltej Singh,Indian,Pacer,2017
205,Baltej Singh,Indian,Pacer,2016
184,Balwinder Sandhu,Indian,Pacer,2016
32,Barinder Singh Sran,Indian,Pacer,2020
181,Basanta Kumar Mohanty,Indian,Pacer,2016
218,Basil Thampy,Indian,Pacer,2016
93,Ben Dwarshuis,Overseas,Pacer,2021
136,Ben Dwarshuis,Overseas,Pacer,2020
194,Ben Dwarshuis,Overseas,Pacer,2019
35,Ben Dwarshuis,Overseas,Pacer,2017
132,Ben Hilfenhaus,Overseas,Pacer,2018
95,Ben Hilfenhaus,Overseas,Pacer,2017
104,Ben Laughlin,Overseas,Pacer,2020
18,Ben Laughlin,Overseas,Pacer,2019
80,Ben Laughlin,Overseas,Pacer,2016
100,Ben Wheeler,Overseas,Pacer,2018
91,Ben Wheeler,Overseas,Pacer,2017
82,Beuran Hendricks,Overseas,Pacer,2021
